iter	Logloss
0	0.6880268298
1	0.6767910071
2	0.6749936823
3	0.6676186009
4	0.6611081174
5	0.6554125736
6	0.6523649651
7	0.6413140548
8	0.63374342
9	0.6239603946
10	0.6126119379
11	0.6030320285
12	0.5974332575
13	0.5908494916
14	0.5854136149
15	0.5781711779
16	0.5728540922
17	0.5681378549
18	0.5606209604
19	0.5560511873
20	0.5537757204
21	0.5467696608
22	0.5414498312
23	0.5368490386
24	0.5307287919
25	0.5256614016
26	0.5250429522
27	0.5196264836
28	0.5161216134
29	0.5113443743
30	0.506194901
31	0.5040791495
32	0.4978267268
33	0.494163647
34	0.4918729548
35	0.48568401
36	0.4796930949
37	0.4783605609
38	0.475066804
39	0.4708003329
40	0.4678497984
41	0.4641494751
42	0.4586627358
43	0.4557823047
44	0.4518787986
45	0.4495334291
46	0.4474221614
47	0.4446410464
48	0.4417999669
49	0.439747024
